periph_q,fovea_q,avg_bytes,delta_pct,abs_delta_pct
10,90,16415.35360584912,-0.0448835786732503,0.0448835786732503
10,85,16412.899253731342,-0.05982843198325598,0.05982843198325598
10,80,16410.831312781433,-0.07242037994635156,0.07242037994635156
5,90,16409.45931283906,-0.08077465712263865,0.08077465712263865
10,70,16409.416135881103,-0.08103756695466426,0.08103756695466426
5,85,16407.564349112425,-0.0923133253997824,0.0923133253997824
15,70,16405.537785016288,-0.10465332458764502,0.10465332458764502
5,80,16399.4025728339,-0.14201138964580926,0.14201138964580926
5,70,16397.26258714175,-0.15504202694639718,0.15504202694639718
15,80,16394.070265091024,-0.17448047036324094,0.17448047036324094
15,85,16382.799185463658,-0.2431114668923667,0.2431114668923667
25,70,16375.204890387859,-0.2893540679758431,0.2893540679758431
15,90,16373.239778665848,-0.3013198760644689,0.3013198760644689
25,80,16371.218844984802,-0.3136255909591352,0.3136255909591352
25,85,16366.76820652174,-0.34072607849088743,0.34072607849088743
25,90,16365.775728414863,-0.34676940031632325,0.34676940031632325
20,70,16363.488835244418,-0.3606945754044515,0.3606945754044515
20,90,16359.839576780098,-0.3829153611036801,0.3829153611036801
20,80,16348.989925925925,-0.44898022576021085,0.44898022576021085
20,85,16347.694121071012,-0.4568705416341284,0.4568705416341284
